login;fio;fname;lname;initials;samaccname;cellphone;workphone;vntel;fax;email;department;jobtitle;addr;kab;company;ou;passwd
DmitrievAI;Дмитриев Али Ильич;Али;Дмитриев;И.;DmitrievAI;+7(495)785-55-59;+7(495)1230488;488;;DmitrievAI@altuninvv.local;Отдел 4;Специалист;Пушкина 1;189;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;e4KSRtm5ma2(k13T
BerezinMS;Березин Михаил Святославович;Михаил;Березин;С.;BerezinMS;+7(495)370-31-72;+7(495)1230489;489;;BerezinMS@altuninvv.local;Отдел 4;Специалист;Пушкина 1;190;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;BIdGDCC%D3BJPg$J
MartynovTD;Мартынов Тимур Даниэльевич;Тимур;Мартынов;Д.;MartynovTD;+7(495)533-34-95;+7(495)1230490;490;;MartynovTD@altuninvv.local;Отдел 4;Специалист;Пушкина 1;191;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;p=RoKzzBfVHgytXw
ZaharovAM;Захаров Арсений Михайлович;Арсений;Захаров;М.;ZaharovAM;+7(495)246-91-40;+7(495)1230491;491;;ZaharovAM@altuninvv.local;Отдел 4;Специалист;Пушкина 1;192;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;(4oRYHKy!Y$JN&!T
BeljaevMS;Беляев Максим Савельевич;Максим;Беляев;С.;BeljaevMS;+7(495)710-59-06;+7(495)1230492;492;;BeljaevMS@altuninvv.local;Отдел 4;Специалист;Пушкина 1;193;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;EfGLJBXHGnmA.d.K
VoronovaDG;Воронова Дарья Георгиевна;Дарья;Воронова;Г.;VoronovaDG;+7(495)120-81-37;+7(495)1230493;493;;VoronovaDG@altuninvv.local;Отдел 4;Специалист;Пушкина 1;194;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;~gfHuIi3LRQW19!q
OrlovaMA;Орлова Милана Артёмовна;Милана;Орлова;А.;OrlovaMA;+7(495)178-01-44;+7(495)1230494;494;;OrlovaMA@altuninvv.local;Отдел 4;Специалист;Пушкина 1;195;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;%=w,-p!*Ln37b(EP
DubininaAA;Дубинина Анна Арсентьевна;Анна;Дубинина;А.;DubininaAA;+7(495)438-71-32;+7(495)1230495;495;;DubininaAA@altuninvv.local;Отдел 4;Специалист;Пушкина 1;196;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;(RTsLcFYJFhKCbUR
SerovaVL;Серова Виктория Леонидовна;Виктория;Серова;Л.;SerovaVL;+7(495)082-34-00;+7(495)1230496;496;;SerovaVL@altuninvv.local;Отдел 4;Специалист;Пушкина 1;197;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;7lr,yFZSVcfWmLDo
SorokinaEF;Сорокина Екатерина Фёдоровна;Екатерина;Сорокина;Ф.;SorokinaEF;+7(495)226-99-62;+7(495)1230497;497;;SorokinaEF@altuninvv.local;Отдел 4;Специалист;Пушкина 1;198;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;Q5!LqXz+7kveRMdI
IvanovaEHM;Иванова Эмилия Мироновна;Эмилия;Иванова;М.;IvanovaEHM;+7(495)517-68-90;+7(495)1230498;498;;IvanovaEHM@altuninvv.local;Отдел 4;Специалист;Пушкина 1;199;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;$cz.9nSb4n3ZTS$R
SuvorovDJA;Суворов Дмитрий Ярославович;Дмитрий;Суворов;Я.;SuvorovDJA;+7(495)182-61-09;+7(495)1230499;499;;SuvorovDJA@altuninvv.local;Отдел 4;Специалист;Пушкина 1;200;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;a8R9V5cU=tT*6&QV
